Ring Statistics
0 RINGS: 0
1 RINGS: 0
2 RINGS: 0
3 RINGS: 0
4 RINGS: 16
5 RINGS: 122
6 RINGS: 186
7 RINGS: 93
8 RINGS: 23
9 RINGS: 3
10 RINGS: 1
11 RINGS: 0
RING SUM: 2662
SUM: 444
AVERAGE: 5.995495

