Ring Statistics
0 RINGS: 0
1 RINGS: 0
2 RINGS: 0
3 RINGS: 0
4 RINGS: 16
5 RINGS: 120
6 RINGS: 185
7 RINGS: 93
8 RINGS: 22
9 RINGS: 5
10 RINGS: 1
11 RINGS: 0
RING SUM: 2656
SUM: 442
AVERAGE: 6.009050

