Ring Statistics
0 RINGS: 0
1 RINGS: 0
2 RINGS: 0
3 RINGS: 0
4 RINGS: 11
5 RINGS: 80
6 RINGS: 130
7 RINGS: 46
8 RINGS: 21
9 RINGS: 2
10 RINGS: 0
11 RINGS: 0
RING SUM: 1732
SUM: 290
AVERAGE: 5.972414

