Ring Statistics
0 RINGS: 0
1 RINGS: 0
2 RINGS: 0
3 RINGS: 0
4 RINGS: 3
5 RINGS: 7
6 RINGS: 3
7 RINGS: 5
8 RINGS: 3
9 RINGS: 0
10 RINGS: 0
11 RINGS: 0
RING SUM: 124
SUM: 21
AVERAGE: 5.904762

