Ring Statistics
0 RINGS: 0
1 RINGS: 0
2 RINGS: 0
3 RINGS: 0
4 RINGS: 15
5 RINGS: 118
6 RINGS: 204
7 RINGS: 90
8 RINGS: 19
9 RINGS: 2
10 RINGS: 1
11 RINGS: 0
RING SUM: 2684
SUM: 449
AVERAGE: 5.977728

