Ring Statistics
0 RINGS: 0
1 RINGS: 0
2 RINGS: 0
3 RINGS: 0
4 RINGS: 3
5 RINGS: 23
6 RINGS: 37
7 RINGS: 8
8 RINGS: 8
9 RINGS: 0
10 RINGS: 0
11 RINGS: 0
RING SUM: 469
SUM: 79
AVERAGE: 5.936709

