0.999848 0: 53.852287 10.187094 977: 54.703091 10.712289
0.999928 0: 53.852287 10.187094 982: 52.943943 10.605145
0.999860 1: 57.376106 10.179145 972: 58.165741 10.792494
0.999944 1: 57.376106 10.179145 978: 56.450020 10.556307
0.999952 2: 22.629778 10.255751 975: 21.683401 10.578667
0.999879 2: 22.629778 10.255751 983: 23.382376 10.914047
0.999851 3: 39.009315 10.348569 971: 39.978790 10.103986
0.999831 3: 39.009315 10.348569 985: 38.582615 11.252775
0.999947 4: 40.968758 9.963064 971: 39.978790 10.103986
0.999858 4: 40.968758 9.963064 980: 41.691895 10.653563
0.999890 5: 16.603132 10.432309 990: 17.208254 11.228304
0.999986 5: 16.603132 10.432309 2350: 15.611136 10.558469
0.999964 6: 64.538765 10.509012 973: 63.564945 10.736177
0.999884 6: 64.538765 10.509012 997: 65.222206 11.238859
0.999912 7: 70.925507 10.698583 974: 70.107170 11.273170
0.999864 7: 70.925507 10.698583 987: 71.850014 11.079390
0.999841 8: 48.414696 10.762122 996: 48.017677 11.679760
0.999867 8: 48.414696 10.762122 2380: 49.383820 10.516089
1.000006 9: 59.164371 10.844924 972: 58.165741 10.792494
0.999905 9: 59.164371 10.844924 1001: 59.617649 11.736187
0.999873 10: 62.570927 10.844216 973: 63.564945 10.736177
0.999879 10: 62.570927 10.844216 1003: 62.167198 11.758963
0.999853 11: 69.186798 10.882502 974: 70.107170 11.273170
0.999909 11: 69.186798 10.882502 993: 68.362228 11.448101
0.999878 12: 74.327370 10.444929 979: 75.245110 10.841803
0.999912 12: 74.327370 10.444929 988: 73.556137 11.081344
0.999866 13: 20.683550 10.584057 975: 21.683401 10.578667
0.999883 13: 20.683550 10.584057 994: 20.188152 11.452589
0.999905 14: 25.960083 11.008814 984: 25.067669 11.459820
0.999857 14: 25.960083 11.008814 991: 26.859150 11.446298
0.999857 15: 34.176220 11.192636 976: 35.134956 11.476428
0.999899 15: 34.176220 11.192636 1007: 33.420193 11.847023
0.999898 16: 35.883659 10.813676 976: 35.134956 11.476428
0.999864 16: 35.883659 10.813676 986: 36.845448 11.086975
