Ring Statistics
0 RINGS: 0
1 RINGS: 0
2 RINGS: 0
3 RINGS: 0
4 RINGS: 0
5 RINGS: 154
6 RINGS: 135
7 RINGS: 104
8 RINGS: 25
9 RINGS: 0
10 RINGS: 0
11 RINGS: 0
RING SUM: 2508
SUM: 418
AVERAGE: 6.000000

